0.0,-1.0,-1.0,-1.0,-1.0,0.18399814606407452,-0.6858402497949714,0.2619836679308652,-1.037886225784084
1.0,-1.0,-1.0,-1.0,-1.0,0.18393770840610468,-0.6863352843550479,0.2619836679308652,-1.037886225784084
2.0,-1.0,-1.0,-1.0,-1.0,0.18395383378588273,-0.6853309054534327,0.2622843166782824,-1.0378573354740424
3.0,-1.0,-1.0,-1.0,-1.0,0.18410320921748924,-0.685910816580387,0.2622145833692867,-1.037902324620027
4.0,-1.0,-1.0,-1.0,-1.0,0.18411272252796237,-0.6857009371312233,0.2622145833692867,-1.037902324620027
5.0,-1.0,-1.0,-1.0,-1.0,0.18400991294614136,-0.6855084863641374,0.26238554424753596,-1.0376053920095136
6.0,-1.0,-1.0,-1.0,-1.0,0.1840195881740082,-0.685401772184184,0.26238554424753596,-1.0376053920095136
7.0,-1.0,-1.0,-1.0,-1.0,0.18490186543450576,-0.6855758068385291,0.262426066066086,-1.0376875982665874
8.0,-1.0,-1.0,-1.0,-1.0,0.18499148007593555,-0.6857520048154289,0.2624845208995793,-1.0377583561676151
9.0,-1.0,-1.0,-1.0,-1.0,0.18490454105307638,-0.685670133010676,0.2632973621420336,-1.0374694557215804
10.0,-1.0,-1.0,-1.0,-1.0,0.18490454105307638,-0.685670133010676,0.2632973621420336,-1.0374694557215804
11.0,-1.0,-1.0,-1.0,-1.0,0.1849495301990611,-0.6856341395703813,0.2633586253132726,-1.0370843338735778
12.0,-1.0,-1.0,-1.0,-1.0,0.18500351770511972,-0.6855891504243966,0.2633586253132726,-1.0370843338735778
13.0,-1.0,-1.0,-1.0,-1.0,0.18500351770511972,-0.6857241205167346,0.2638805832852155,-1.0369901138767712
14.0,-1.0,-1.0,-1.0,-1.0,0.18500351770511972,-0.6857241205167346,0.2638805832852155,-1.0369901138767712
15.0,-1.0,-1.0,-1.0,-1.0,0.18494670328063093,-0.6854592289694804,0.2638805832852155,-1.0369901138767712
16.0,-1.0,-1.0,-1.0,-1.0,0.18498257196490095,-0.6854412933001534,0.2638805832852155,-1.0369901138767712
17.0,-1.0,-1.0,-1.0,-1.0,0.18496752426482493,-0.6853732004001625,0.2638805832852155,-1.0369901138767712
18.0,-1.0,-1.0,-1.0,-1.0,0.18494670328063093,-0.6853067797617779,0.2638805832852155,-1.0369901138767712
19.0,-1.0,-1.0,-1.0,-1.0,0.18494670328063093,-0.6853067797617779,0.26385406599402494,-1.0368047343873361
20.0,-1.0,-1.0,-1.0,-1.0,0.18496176956139143,-0.6852050584771929,0.26385406599402494,-1.0368047343873361
21.0,-1.0,-1.0,-1.0,-1.0,0.1847106383382145,-0.6858244774481991,0.26385406599402494,-1.0368047343873361
22.0,-1.0,-1.0,-1.0,-1.0,0.1847106383382145,-0.6858244774481991,0.26385406599402494,-1.0368047343873361
23.0,-1.0,-1.0,-1.0,-1.0,0.1848545218503542,-0.6855357389195581,0.26385406599402494,-1.0368047343873361
24.0,-1.0,-1.0,-1.0,-1.0,0.1848545218503542,-0.6855357389195581,0.26385406599402494,-1.0368047343873361
25.0,-1.0,-1.0,-1.0,-1.0,0.1847335801748271,-0.6854721770522059,0.26385406599402494,-1.0368047343873361
26.0,-1.0,-1.0,-1.0,-1.0,0.18471354754253333,-0.6854054219614999,0.26293441766819475,-1.0368945587250624
27.0,-1.0,-1.0,-1.0,-1.0,0.18472939952081058,-0.6854910523732926,0.26296668169966836,-1.03707621146006
28.0,-1.0,-1.0,-1.0,-1.0,0.18456547806761012,-0.6855629383873086,0.26296668169966836,-1.03707621146006
29.0,-1.0,-1.0,-1.0,-1.0,0.1844006567784023,-0.6857871037284833,0.2625376908555191,-1.0372102710988567
30.0,-1.0,-1.0,-1.0,-1.0,0.18438174960471365,-0.6857192868843763,0.2625376908555191,-1.0372102710988567
31.0,-1.0,-1.0,-1.0,-1.0,0.18449445738261575,-0.685509672873563,0.2622419208649796,-1.037446272336069
32.0,-1.0,-1.0,-1.0,-1.0,0.183954515962443,-0.6854448554828139,0.262126574629876,-1.0376660765251489
33.0,-1.0,-1.0,-1.0,-1.0,0.18356570452137186,-0.686086953506466,0.26193777364010595,-1.0377504222153262
34.0,-1.0,-1.0,-1.0,-1.0,0.18346487510964374,-0.6863539738692893,0.26175578645278713,-1.0373827343581685
